Neutron Energy (MeV),Cross Section (mb),Gamma Cross Section (mb),XS/Residual Ratio
1.00E-11,0,0,0
2.53E-08,0,0,0
1.00E-06,0,0,0
1.00E-05,0,0,0
2.10E-05,0,0,0
0.0001,0,0,0
0.000105,0,0,0
0.0002,0,0,0
0.0003,0,0,0
0.0006,0,0,0
0.001,0,0,0
0.002,0,0,0
0.003,0,0,0
0.006,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.06,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,0,0,0
1.2,0,0,0
1.4,0,0,0
1.6,0,0,0
1.8,0,0,0
2,0,0,0
2.2,0,0,0
2.4,0,0,0
2.6,0,0,0
2.8,0,0,0
3,0,0,0
3.2,0,0,0
3.4,0,0,0
3.6,0,0,0
3.8,0,0,0
4,0,0,0
4.2,0,0,0
4.4,0,0,0
4.6,0,0,0
4.8,0,0,0
5,0,0,0
5.2,0,0,0
5.4,0,0,0
5.6,0,0,0
5.8,0,0,0
6,0,0,0
6.2,0,0,0
6.4,0,0,0
6.6,0,0,0
6.8,0,0,0
7,0,0,0
7.2,0,0,0
7.4,0,0,0
7.6,0,0,0
7.8,0,0,0
8,0,0,0
8.5,0,0,0
9,58.74861,45.8601,0.9999967
9.5,331.3833,337.1974,0.999961
10,678.7566,949.2757,0.9998181
10.5,994.1434,1787.504,0.9994731
11,1253.189,2691.057,0.9988343
11.5,1452.666,3565.922,0.997829
12,1598.268,4367.775,0.996405
12.5,1702.776,5082.685,0.994535
13,1777.3,5720.838,0.9922684
13.5,1831.818,6293.659,0.9896598
14,1872.95,6813.323,0.986791
14.5,1904.732,7290.234,0.9837375
15,1929.34,7727.993,0.9805564
16,1960.624,8490.941,0.9741019
17,1953.071,9012.515,0.9677014
18,1901.415,9247.322,0.9608033
19,1793.574,9095.67,0.9528672
20,1627.129,8483.016,0.9427519
21,1425.786,7569.33,0.9305382
22,1223.579,6549.985,0.9158763
23,1046.323,5593.937,0.8998909
24,903.1711,4791.514,0.8843092
25,793.2096,4158.249,0.8711971
26,710.6884,3683.677,0.8616256
27,648.6546,3326.55,0.8561838
28,601.2382,3057.172,0.8548306
29,564.2424,2853.733,0.8567583
30,534.6948,2693.965,0.8613589
32,490.2813,2458.863,0.8758677
34,458.3726,2295.118,0.8944384
36,427.421,2139.24,0.9106269
38,399.7697,1998.284,0.9231377
40,375.4457,1876.03,0.9321312
42,354.0704,1768.292,0.9387996
44,336.3577,1678.325,0.9447045
46,318.496,1585.027,0.9495019
48,302.3284,1499.751,0.95385
50,288.5447,1426.206,0.9579779
52,278.6773,1367.833,0.9621187
54,270.67,1318.888,0.9661047
56,261.1423,1266.662,0.9696473
58,252.7063,1222.865,0.973071
60,244.8777,1180.639,0.9763031
65,229.7824,1091.536,0.9834253
70,216.1316,1010.353,0.9889252
75,204.3408,938.0037,0.9928055
80,192.4362,864.5529,0.9953744
90,172.9398,742.1998,0.9978904
100,156.149,643.8221,0.9987212
110,144.0146,577.4747,0.998919
120,128.0766,495.2913,0.9989568
130,113.3731,424.6499,0.998958
140,104.4702,381.5415,0.9989837
150,91.83328,311.2208,0.9989865
160,84.08055,278.9762,0.9990169
180,67.92085,207.4891,0.9990374
200,60.24449,182.1636,0.9991375
